snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-05-31T17:11:38Z,2026-06-01,1,0.00274,73403.19,73403.19,24,24,0.07682568019182816,-1.6113059848806696e-05,0.0001326317245105622,0.2771744580437169
2026-05-31T17:11:38Z,2026-06-02,2,0.005479,73403.3,73403.19,24,24,0.10802866695920581,-0.0025274958369622355,0.0003849711226800601,0.32867714699870115
2026-05-31T17:11:38Z,2026-06-03,3,0.008219,73404.03,73403.19,24,24,0.10019889232674517,-0.0017290800320519462,0.00040784509941819416,0.3165420861856211
2026-05-31T17:11:38Z,2026-06-04,4,0.010959,73404.16,73403.19,24,24,0.10641508143128225,-0.001686641373615617,0.0005466177403933346,0.3262132453339108
2026-05-31T17:11:38Z,2026-06-05,5,0.013699,73426.55,73403.19,23,23,0.11643141231303934,-0.0020094323741531254,0.0008047085365615517,0.3412204746392563
2026-05-31T17:11:38Z,2026-06-12,12,0.032877,73466.95,73403.19,21,21,0.11792939496264929,-0.0010850980259393067,0.0015398706953787937,0.34340849576364485
2026-05-31T17:11:38Z,2026-06-19,19,0.052055,73488.97,73403.19,19,19,0.13236892082596213,-0.0028104048822138886,0.0036514630364290223,0.36382539881921677
2026-05-31T17:11:38Z,2026-06-26,26,0.071233,73552.74,73403.19,59,59,0.1380514298630564,-0.00329524870544991,0.010924013107226464,0.3715527282406313
2026-05-31T17:11:38Z,2026-07-31,61,0.167123,73722.25,73403.19,47,47,0.13438387825845938,0.0038967496994649436,0.011511198727923265,0.36658406710938674
2026-05-31T17:11:38Z,2026-08-28,89,0.243836,73893.4,73403.19,38,38,0.140802450673077,0.006710079688177832,0.01531752551336313,0.3752365263045124
2026-05-31T17:11:38Z,2026-09-25,117,0.320548,74077.81,73403.19,58,58,0.1649811754557901,0.015414654545598237,0.06650367270442172,0.40617874815872645
2026-05-31T17:11:38Z,2026-12-25,208,0.569863,74750.43,73403.19,57,57,0.20416981820288913,0.057073353634749156,0.16951872057160122,0.4518515444290183
2026-05-31T17:11:38Z,2027-03-26,299,0.819178,75414.51,73403.19,46,46,0.21864040982018676,0.09345711209177783,0.20287917742540498,0.46759000183941785
