snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-04-30T17:25:21Z,2026-05-01,1,0.00274,76082.1,76117.18,29,29,0.07569494257711012,-0.0004998409283694549,9.452851922700735e-05,0.2751271389323673
2026-04-30T17:25:21Z,2026-05-02,2,0.005479,76117.29,76117.18,27,27,0.09974124032216256,-0.0007020463566460422,0.00027801664428435917,0.31581836603048047
2026-04-30T17:25:21Z,2026-05-03,3,0.008219,76116.54,76117.18,28,28,0.08695218827683766,-0.00038363789495238264,0.0003788165711915188,0.29487656447543886
2026-04-30T17:25:21Z,2026-05-04,4,0.010959,76117.23,76117.18,25,25,0.09188887040846742,-0.0002213919868335899,0.00045539670366355787,0.30313177070123715
2026-04-30T17:25:21Z,2026-05-08,8,0.021918,76106.24,76117.18,21,21,0.13302960888101942,-0.0004507465800054499,0.0016128566438504018,0.36473224272199933
2026-04-30T17:25:21Z,2026-05-15,15,0.041096,76122.4,76117.18,18,18,0.15142241678021046,-0.00038646624013391804,0.0031576430331031065,0.38913033392452256
2026-04-30T17:25:21Z,2026-05-22,22,0.060274,76143.1367,76117.18,16,16,0.1470961147808037,-0.0005624816443177365,0.0033679453856250608,0.3835311131848415
2026-04-30T17:25:21Z,2026-05-29,29,0.079452,76159.91,76117.18,47,47,0.1606222376876691,-0.005841659243823393,0.010296010496278424,0.4007770423660381
2026-04-30T17:25:21Z,2026-06-26,57,0.156164,76255.77,76117.18,58,58,0.1772852516686935,0.0064071635336295065,0.0671956779214433,0.4210525521460397
2026-04-30T17:25:21Z,2026-07-31,92,0.252055,76429.6338,76117.18,43,43,0.16719608434190356,0.010157669769762255,0.020361232449352427,0.4088961779497377
2026-04-30T17:25:21Z,2026-09-25,148,0.405479,76708.46,76117.18,57,57,0.19750918849980856,0.03150883988777675,0.1159158414719949,0.4444200586155046
2026-04-30T17:25:21Z,2026-12-25,239,0.654795,77338.75,76117.18,55,55,0.2259903132798516,0.08239340102037741,0.22066747378635942,0.47538438476652933
2026-04-30T17:25:21Z,2027-03-26,330,0.90411,78004.85,76117.18,45,45,0.2333954109127414,0.11479165373845306,0.24198980480980492,0.4831101436657498
