snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-05-19T18:08:55Z,2026-05-20,1,0.00274,76879.58,76879.58,26,26,0.061482515903442767,-0.00035025376284859226,6.437488206509373e-05,0.24795668150594927
2026-05-19T18:08:55Z,2026-05-21,2,0.005479,76879.85,76879.58,26,26,0.10350025182033457,-0.0010941295647208353,0.00030088330249353976,0.3217145502154582
2026-05-19T18:08:55Z,2026-05-22,3,0.008219,76884.33,76879.58,28,28,0.1259874655490405,-0.001552872807557998,0.0008260105923083516,0.3549471306392552
2026-05-19T18:08:55Z,2026-05-23,4,0.010959,76880.32,76879.58,25,25,0.1286053830317338,-0.0019028263918937304,0.0008455725699334624,0.35861592690751176
2026-05-19T18:08:55Z,2026-05-29,10,0.027397,76911.5,76879.58,48,48,0.15129183144116687,-0.006037621447403917,0.003966098208683612,0.3889625064722394
2026-05-19T18:08:55Z,2026-06-05,17,0.046575,76936.54,76879.58,20,20,0.14571825527408697,-0.0030159633855876525,0.0032322810268961676,0.381730605629267
2026-05-19T18:08:55Z,2026-06-26,38,0.10411,76988.18,76879.58,59,59,0.1652480091372426,-0.0056944613426470015,0.02433481331499673,0.4065070837479251
2026-05-19T18:08:55Z,2026-07-31,73,0.2,77130.16,76879.58,46,46,0.15761147573458223,0.004203877165432228,0.016669280847340227,0.39700311804138544
2026-05-19T18:08:55Z,2026-09-25,129,0.353425,77470.94,76879.58,58,58,0.18772766099635563,0.022905194904722623,0.09446440575537185,0.4332755024189062
2026-05-19T18:08:55Z,2026-12-25,220,0.60274,78171.94,76879.58,57,57,0.2251907901362844,0.0775031673176135,0.21554471570661424,0.4745427168720266
2026-05-19T18:08:55Z,2027-03-26,311,0.852055,78820.99,76879.58,46,46,0.23481964091476687,0.11120370069378618,0.23858559024092363,0.4845819238423642
