snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-05-24T17:07:40Z,2026-05-25,1,0.00274,76616.22,76616.22,28,28,0.06883986184648629,-0.00042053254016518644,7.129556128034615e-05,0.2623735159014459
2026-05-24T17:07:40Z,2026-05-26,2,0.005479,76616.22,76616.22,29,29,0.10397439341173448,-0.001081747492864643,0.0003861948629785154,0.32245060615811294
2026-05-24T17:07:40Z,2026-05-27,3,0.008219,76616.11,76616.22,28,28,0.11195377910990066,-0.0012769116486372784,0.000628961003229702,0.3345949478248299
2026-05-24T17:07:40Z,2026-05-28,4,0.010959,76613.79,76616.22,25,25,0.11623433098468361,-0.0010238502933431243,0.000734888293560065,0.34093156349138987
2026-05-24T17:07:40Z,2026-05-29,5,0.013699,76614.19,76616.22,48,48,0.12995514998156957,-0.003729694945929532,0.0015939412150308733,0.36049292639602454
2026-05-24T17:07:40Z,2026-06-05,12,0.032877,76631.49,76616.22,22,22,0.12021991451488064,-0.0021873108644677288,0.0019318526645549455,0.34672743548049473
2026-05-24T17:07:40Z,2026-06-12,19,0.052055,76662.85,76616.22,19,19,0.12105262906014294,-0.0024793501824939223,0.002398726531809206,0.34792618334949
2026-05-24T17:07:40Z,2026-06-26,33,0.090411,76734.4,76616.22,59,59,0.13988594783197017,-0.00448075532497183,0.017356825914491517,0.3740132990041533
2026-05-24T17:07:40Z,2026-07-31,68,0.186301,76899.31,76616.22,46,46,0.14192442632703403,0.0033974453097099433,0.013945487076917406,0.3767285844305341
2026-05-24T17:07:40Z,2026-09-25,124,0.339726,77255.56,76616.22,58,58,0.17468309431544574,0.0201716282245329,0.08226713950311065,0.41795106689114425
2026-05-24T17:07:40Z,2026-12-25,215,0.589041,78033.6,76616.22,57,57,0.21468304804211558,0.07321924585683673,0.20626054469205957,0.4633390206340446
2026-05-24T17:07:40Z,2027-03-26,306,0.838356,78706.84,76616.22,46,46,0.2284869681789358,0.10612891513499842,0.22881467857316568,0.47800310477959845
