snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-04-23T17:24:22Z,2026-04-24,1,0.00274,77662.75,77695.48,56,56,0.1187549312690573,-0.002350257247430742,0.00030803822603139364,0.34460837376514414
2026-04-23T17:24:22Z,2026-04-25,2,0.005479,77702.97,77695.48,30,30,0.1463655574177632,-0.0024397672326875474,0.0008319503457921716,0.3825775181813003
2026-04-23T17:24:22Z,2026-04-26,3,0.008219,77702.97,77695.48,27,27,0.12201045396301502,-0.0012223080953839673,0.0007555232717385198,0.34929994841541995
2026-04-23T17:24:22Z,2026-04-27,4,0.010959,77700.65,77695.48,25,25,0.13196780444513426,-0.0018490136383194087,0.0009219109950836762,0.36327373211551406
2026-04-23T17:24:22Z,2026-05-01,8,0.021918,77632.87,77695.48,25,25,0.17641239116830953,-0.005454115505297929,0.003273735273336569,0.420014751131802
2026-04-23T17:24:22Z,2026-05-08,15,0.041096,77642.5675,77695.48,20,20,0.17145618291848091,-0.0031381343996443414,0.003630298926979518,0.4140726783047644
2026-04-23T17:24:22Z,2026-05-15,22,0.060274,77659.105,77695.48,16,16,0.17480894155125187,-0.000178510950175691,0.0050724068097494695,0.4181015923806699
2026-04-23T17:24:22Z,2026-05-29,36,0.09863,77681.94,77695.48,47,47,0.18624309785952683,-0.008539695328725914,0.015419368785352473,0.43155891586146944
2026-04-23T17:24:22Z,2026-06-26,64,0.175342,77823.52,77695.48,58,58,0.19951355406348042,0.017336187191929,0.13289130965821566,0.4466694013064701
2026-04-23T17:24:22Z,2026-07-31,99,0.271233,78010.8492,77695.48,40,40,0.17619992554724126,0.014275342360814462,0.02252000227529556,0.41976174855177223
2026-04-23T17:24:22Z,2026-09-25,155,0.424658,78313.71,77695.48,57,57,0.20552361568122404,0.03941945303806314,0.13826618121437637,0.45334712492881657
2026-04-23T17:24:22Z,2026-12-25,246,0.673973,79005.71,77695.48,55,55,0.23304675816900922,0.09035157828633414,0.23603647900266042,0.4827491669273073
2026-04-23T17:24:22Z,2027-03-26,337,0.923288,79716.93,77695.48,45,45,0.24582020141874675,0.12704509512716955,0.26537378748535917,0.4958025831102
