snapshot_ts,expiry,days_to_expiry,T_years,forward_price,index_price,n_strikes,n_otm_strikes,mu2_variance,mu3_cubic,mu4_quartic,svix
2026-07-05T17:16:05Z,2026-07-06,1,0.00274,62666.21,62666.21,24,24,0.06552574345887521,-0.00017981022411172896,6.510614710799696e-05,0.2559799669092783
2026-07-05T17:16:05Z,2026-07-07,2,0.005479,62666.56,62666.21,21,21,0.1311985651952821,-0.0027784164167685586,0.0005669930904414128,0.362213424924149
2026-07-05T17:16:05Z,2026-07-08,3,0.008219,62666.49,62666.21,22,22,0.14309008735720907,-0.0030737475200002134,0.0008309383727518487,0.37827250409884283
2026-07-05T17:16:05Z,2026-07-09,4,0.010959,62668.86,62666.21,20,20,0.14314945237593701,-0.002457367074299299,0.0009570659804079862,0.37835096455002865
2026-07-05T17:16:05Z,2026-07-10,5,0.013699,62678.47,62666.21,22,22,0.1572067878292121,-0.004938738858477143,0.0024696107749848065,0.39649311195683096
2026-07-05T17:16:05Z,2026-07-17,12,0.032877,62708.56,62666.21,18,18,0.1455666247020926,-0.007943900208288262,0.003120853856459432,0.38153194453687966
2026-07-05T17:16:05Z,2026-07-24,19,0.052055,62743.88,62666.21,17,17,0.14840171590104625,-0.005620244984698185,0.004072699653755748,0.3852294328073158
2026-07-05T17:16:05Z,2026-07-31,26,0.071233,62775.79,62666.21,58,58,0.15376578247525738,-0.0025951432214500448,0.011610906965758169,0.39212980309491574
2026-07-05T17:16:05Z,2026-08-28,54,0.147945,62955.85,62666.21,49,49,0.16360669959415666,-0.004871389863122563,0.017631499436742377,0.40448325007861163
2026-07-05T17:16:05Z,2026-09-25,82,0.224658,63155.06,62666.21,60,60,0.17869133777115398,0.007392379671161755,0.06907491686737428,0.4227189820331635
2026-07-05T17:16:05Z,2026-12-25,173,0.473973,63804.4,62666.21,58,58,0.21185387950515294,0.056194268233697546,0.2013975640370845,0.4602758732598885
2026-07-05T17:16:05Z,2027-03-26,264,0.723288,64439.34,62666.21,51,51,0.22403731356972634,0.09725166661506371,0.23686926736741165,0.4733258006592566
2026-07-05T17:16:05Z,2027-06-25,355,0.972603,65115.63,62666.21,34,34,0.23512947931441655,0.1037367293492661,0.23473481721110076,0.484901515067149
