snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,forward_price,index_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-05-29T18:37:08Z,2026-05-30,1,67000.0,C,0.087,0.115,0.0907,73687.47,73687.47,0.7519,0.99943,0.0,0.05806,0.0,0.0
2026-05-29T18:37:08Z,2026-05-30,1,67000.0,P,0.0,0.0001,0.0,73687.47,73687.47,0.7519,-0.00057,0.0,0.05806,18.8,17.0
2026-05-29T18:37:08Z,2026-05-30,1,68000.0,C,0.0735,0.1035,0.0772,73687.47,73687.47,0.685,0.99871,0.0,0.12265,0.0,0.0
2026-05-29T18:37:08Z,2026-05-30,1,68000.0,P,0.0,0.0001,0.0,73687.47,73687.47,0.685,-0.00129,0.0,0.12265,91.3,69.4
2026-05-29T18:37:08Z,2026-05-30,1,69000.0,C,0.06,0.09,0.0636,73687.47,73687.47,0.6618999999999999,0.99466,1e-05,0.44126,0.7,0.0
2026-05-29T18:37:08Z,2026-05-30,1,69000.0,P,0.0,0.0001,0.0,73687.47,73687.47,0.6618999999999999,-0.00534,1e-05,0.44126,213.6,40.7
2026-05-29T18:37:08Z,2026-05-30,1,70000.0,C,0.047,0.054,0.0502,73687.47,73687.47,0.6214,0.98323,2e-05,1.19999,0.0,0.0
2026-05-29T18:37:08Z,2026-05-30,1,70000.0,P,0.0,0.0002,0.0001,73687.47,73687.47,0.6214,-0.01677,2e-05,1.19999,204.0,114.4
2026-05-29T18:37:08Z,2026-05-30,1,71000.0,C,0.035,0.038,0.0366,73687.47,73687.47,0.4905,0.97427,4e-05,1.7245,44.0,203.1
2026-05-29T18:37:08Z,2026-05-30,1,71000.0,P,0.0001,0.0003,0.0002,73687.47,73687.47,0.4905,-0.02573,4e-05,1.7245,532.5,206.1
2026-05-29T18:37:08Z,2026-05-30,1,71500.0,C,0.027,0.034,0.0299,73687.47,73687.47,0.4382,0.96146,7e-05,2.4078,0.0,0.0
2026-05-29T18:37:08Z,2026-05-30,1,71500.0,P,0.0002,0.0004,0.0003,73687.47,73687.47,0.4382,-0.03854,7e-05,2.4078,40.9,39.5
2026-05-29T18:37:08Z,2026-05-30,1,72000.0,C,0.02,0.027,0.0232,73687.47,73687.47,0.3709,0.94578,0.0001,3.16781,0.7,0.0
2026-05-29T18:37:08Z,2026-05-30,1,72000.0,P,0.0003,0.0004,0.0003,73687.47,73687.47,0.3709,-0.05422,0.0001,3.16781,307.0,226.4
2026-05-29T18:37:08Z,2026-05-30,1,72500.0,C,0.015,0.0175,0.0167,73687.47,73687.47,0.3208,0.90354,0.00018,4.92283,32.4,17.3
2026-05-29T18:37:08Z,2026-05-30,1,72500.0,P,0.0005,0.0006,0.0006,73687.47,73687.47,0.3208,-0.09646,0.00018,4.92283,343.2,315.4
2026-05-29T18:37:08Z,2026-05-30,1,73000.0,C,0.0085,0.012,0.0105,73687.47,73687.47,0.27899999999999997,0.80648,0.00034,7.90419,170.6,189.5
2026-05-29T18:37:08Z,2026-05-30,1,73000.0,P,0.001,0.0013,0.0012,73687.47,73687.47,0.27899999999999997,-0.19352,0.00034,7.90419,146.1,218.2
2026-05-29T18:37:08Z,2026-05-30,1,73500.0,C,0.0049,0.006,0.0053,73687.47,73687.47,0.2484,0.60536,0.00054,11.0873,189.8,223.9
2026-05-29T18:37:08Z,2026-05-30,1,73500.0,P,0.0025,0.003,0.0027,73687.47,73687.47,0.2484,-0.39464,0.00054,11.0873,245.2,308.3
2026-05-29T18:37:08Z,2026-05-30,1,74000.0,C,0.0017,0.0021,0.0019,73687.47,73687.47,0.23,0.32052,0.00054,10.3069,615.9,783.5
2026-05-29T18:37:08Z,2026-05-30,1,74000.0,P,0.0055,0.0065,0.0061,73687.78,73687.47,0.23,-0.67931,0.00054,10.3092,296.6,348.8
2026-05-29T18:37:08Z,2026-05-30,1,74500.0,C,0.0005,0.0008,0.0006,73687.78,73687.47,0.2494,0.13144,0.0003,6.13961,218.9,250.7
2026-05-29T18:37:08Z,2026-05-30,1,74500.0,P,0.01,0.0135,0.0117,73687.47,73687.47,0.2494,-0.86865,0.0003,6.13656,30.9,0.1
