snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,forward_price,index_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-07-16T17:21:44Z,2026-07-17,1,48000.0,C,0.2385,0.2655,0.2518,64157.33,64152.19,0.7698,1.0,0.0,0.0,0.0,0.0
2026-07-16T17:21:44Z,2026-07-17,1,48000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7698,0.0,0.0,0.0,211.1,0.0
2026-07-16T17:21:44Z,2026-07-17,1,50000.0,C,0.0,0.0,0.2206,64157.33,64152.19,0.7698,1.0,0.0,0.0,0.1,0.0
2026-07-16T17:21:44Z,2026-07-17,1,50000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7698,0.0,0.0,0.0,443.8,0.0
2026-07-16T17:21:44Z,2026-07-17,1,52000.0,C,0.186,0.207,0.1895,64157.33,64152.19,0.7693000000000001,1.0,0.0,0.0,0.1,0.0
2026-07-16T17:21:44Z,2026-07-17,1,52000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7693000000000001,0.0,0.0,0.0,441.3,0.0
2026-07-16T17:21:44Z,2026-07-17,1,54000.0,C,0.155,0.18,0.1583,64157.33,64152.19,0.7693000000000001,1.0,0.0,0.0,0.2,0.0
2026-07-16T17:21:44Z,2026-07-17,1,54000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7693000000000001,0.0,0.0,0.0,453.9,0.0
2026-07-16T17:21:44Z,2026-07-17,1,55000.0,C,0.016,0.0,0.1427,64157.33,64152.19,0.7693000000000001,1.0,0.0,6e-05,4.0,1.0
2026-07-16T17:21:44Z,2026-07-17,1,55000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7693000000000001,0.0,0.0,6e-05,450.4,0.0
2026-07-16T17:21:44Z,2026-07-17,1,56000.0,C,0.016,0.0,0.1271,64157.33,64152.19,0.7547,1.0,0.0,0.00059,6.1,0.0
2026-07-16T17:21:44Z,2026-07-17,1,56000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7547,0.0,0.0,0.00059,1406.0,0.0
2026-07-16T17:21:44Z,2026-07-17,1,57000.0,C,0.013,0.0,0.1115,64157.33,64152.19,0.7069,0.99998,0.0,0.00226,15.5,0.0
2026-07-16T17:21:44Z,2026-07-17,1,57000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7069,-2e-05,0.0,0.00226,299.3,0.1
2026-07-16T17:21:44Z,2026-07-17,1,58000.0,C,0.0125,0.0,0.0959,64157.33,64152.19,0.7020000000000001,0.99979,0.0,0.02052,21.4,0.0
2026-07-16T17:21:44Z,2026-07-17,1,58000.0,P,0.0,0.0001,0.0,64157.33,64152.19,0.7020000000000001,-0.00021,0.0,0.02052,1341.4,0.0
2026-07-16T17:21:44Z,2026-07-17,1,59000.0,C,0.077,0.083,0.0804,64161.53,64152.19,0.6761,0.99885,0.0,0.10031,140.8,0.0
2026-07-16T17:21:44Z,2026-07-17,1,59000.0,P,0.0,0.0001,0.0,64161.53,64152.19,0.6761,-0.00115,0.0,0.10031,732.5,21.8
2026-07-16T17:21:44Z,2026-07-17,1,60000.0,C,0.0605,0.0675,0.0648,64161.53,64152.19,0.5593,0.99839,0.0,0.1368,210.2,0.0
2026-07-16T17:21:44Z,2026-07-17,1,60000.0,P,0.0,0.0001,0.0,64161.53,64152.19,0.5593,-0.00161,0.0,0.1368,867.6,64.1
2026-07-16T17:21:44Z,2026-07-17,1,61000.0,C,0.0455,0.0515,0.0493,64161.53,64152.19,0.5249,0.99101,2e-05,0.63683,160.5,36.9
2026-07-16T17:21:44Z,2026-07-17,1,61000.0,P,0.0,0.0001,0.0001,64161.53,64152.19,0.5249,-0.00899,2e-05,0.63683,358.5,52.3
2026-07-16T17:21:44Z,2026-07-17,1,61500.0,C,0.0001,0.0,0.0415,64161.53,64152.19,0.4866,0.98382,3e-05,1.05963,0.0,0.0
2026-07-16T17:21:44Z,2026-07-17,1,61500.0,P,0.0001,0.0002,0.0001,64161.53,64152.19,0.4866,-0.01618,3e-05,1.05963,46.7,43.4
2026-07-16T17:21:44Z,2026-07-17,1,62000.0,C,0.0295,0.0365,0.0338,64161.53,64152.19,0.439,0.97249,5e-05,1.66012,295.9,3.8
2026-07-16T17:21:44Z,2026-07-17,1,62000.0,P,0.0002,0.0003,0.0002,64161.53,64152.19,0.439,-0.02751,5e-05,1.66012,515.4,154.0
2026-07-16T17:21:44Z,2026-07-17,1,62500.0,C,0.0245,0.0285,0.0262,64161.53,64152.19,0.4075,0.94337,0.00011,2.98533,214.8,0.2
2026-07-16T17:21:44Z,2026-07-17,1,62500.0,P,0.0003,0.0006,0.0004,64161.53,64152.19,0.4075,-0.05663,0.00011,2.98533,405.3,261.0
2026-07-16T17:21:44Z,2026-07-17,1,63000.0,C,0.017,0.0205,0.019,64161.53,64152.19,0.3825,0.88029,0.0002,5.23691,931.5,51.6
2026-07-16T17:21:44Z,2026-07-17,1,63000.0,P,0.0008,0.0011,0.0009,64161.53,64152.19,0.3825,-0.11971,0.0002,5.23691,450.3,185.5
2026-07-16T17:21:44Z,2026-07-17,1,63500.0,C,0.0105,0.014,0.0123,64161.53,64152.19,0.36,0.76166,0.00033,8.12141,161.8,160.1
2026-07-16T17:21:44Z,2026-07-17,1,63500.0,P,0.0019,0.0023,0.0021,64161.53,64152.19,0.36,-0.23834,0.00033,8.12141,249.6,208.1
2026-07-16T17:21:44Z,2026-07-17,1,64000.0,C,0.0065,0.0075,0.0068,64161.53,64152.19,0.3382,0.57506,0.00044,10.27603,1824.4,454.9
2026-07-16T17:21:44Z,2026-07-17,1,64000.0,P,0.0042,0.0046,0.0044,64161.53,64152.19,0.3382,-0.42494,0.00044,10.27603,389.5,225.8
2026-07-16T17:21:44Z,2026-07-17,1,64500.0,C,0.0028,0.0033,0.003,64162.1,64152.19,0.3221,0.34737,0.00044,9.68655,95.1,101.5
2026-07-16T17:21:44Z,2026-07-17,1,64500.0,P,0.0075,0.009,0.0084,64161.53,64152.19,0.3221,-0.65288,0.00044,9.68389,105.0,64.5
2026-07-16T17:21:44Z,2026-07-17,1,65000.0,C,0.0009,0.0012,0.0011,64161.53,64152.19,0.31620000000000004,0.15911,0.00029,6.35741,1216.4,477.7
2026-07-16T17:21:44Z,2026-07-17,1,65000.0,P,0.0125,0.015,0.0142,64161.53,64152.19,0.31620000000000004,-0.84089,0.00029,6.35741,74.6,19.7
2026-07-16T17:21:44Z,2026-07-17,1,65500.0,C,0.0002,0.0005,0.0003,64161.53,64152.19,0.32549999999999996,0.06117,0.00014,3.17121,156.9,148.9
2026-07-16T17:21:44Z,2026-07-17,1,65500.0,P,0.0185,0.0255,0.0213,64161.53,64152.19,0.32549999999999996,-0.93883,0.00014,3.17121,1.4,1.0
2026-07-16T17:21:44Z,2026-07-17,1,66000.0,C,0.0001,0.0002,0.0001,64162.26,64152.19,0.35200000000000004,0.02526,6e-05,1.54605,1131.1,313.0
2026-07-16T17:21:44Z,2026-07-17,1,66000.0,P,0.0001,0.0,0.0288,64162.26,64152.19,0.35200000000000004,-0.97474,6e-05,1.54605,15.1,0.1
2026-07-16T17:21:44Z,2026-07-17,1,67000.0,C,0.0,0.0001,0.0,64162.26,64152.19,0.3873,0.00321,1e-05,0.2548,324.6,71.8
2026-07-16T17:21:44Z,2026-07-17,1,67000.0,P,0.0001,0.0,0.0443,64162.26,64152.19,0.3873,-0.99679,1e-05,0.2548,9.2,0.1
2026-07-16T17:21:44Z,2026-07-17,1,68000.0,C,0.0,0.0001,0.0,64162.26,64152.19,0.48950000000000005,0.0019,0.0,0.15906,1280.4,44.4
2026-07-16T17:21:44Z,2026-07-17,1,68000.0,P,0.0001,0.0,0.0598,64162.26,64152.19,0.48950000000000005,-0.9981,0.0,0.15906,9.5,0.0
2026-07-16T17:21:44Z,2026-07-17,1,69000.0,C,0.0,0.0001,0.0,64162.26,64152.19,0.49219999999999997,0.00016,0.0,0.01586,584.6,2.7
2026-07-16T17:21:44Z,2026-07-17,1,69000.0,P,0.0001,0.0,0.0754,64162.26,64152.19,0.49219999999999997,-0.99984,0.0,0.01586,1.2,0.0
2026-07-16T17:21:44Z,2026-07-17,1,70000.0,C,0.0,0.0001,0.0,64162.26,64152.19,0.5054,1e-05,0.0,0.00151,1389.6,3.0
2026-07-16T17:21:44Z,2026-07-17,1,70000.0,P,0.0001,0.0,0.091,64162.26,64152.19,0.5054,-0.99999,0.0,0.00151,0.0,0.0
2026-07-16T17:21:44Z,2026-07-18,2,55000.0,C,0.0001,0.0,0.1429,64152.76,64152.19,0.7082999999999999,0.99951,0.0,0.07437,0.0,0.0
2026-07-16T17:21:44Z,2026-07-18,2,55000.0,P,0.0,0.0001,0.0,64152.76,64152.19,0.7082999999999999,-0.00049,0.0,0.07437,0.5,0.0
2026-07-16T17:21:44Z,2026-07-18,2,56000.0,C,0.0001,0.0,0.1273,64153.88,64152.19,0.6416,0.99934,0.0,0.09784,0.0,0.0
2026-07-16T17:21:44Z,2026-07-18,2,56000.0,P,0.0,0.0001,0.0,64153.88,64152.19,0.6416,-0.00066,0.0,0.09784,1.5,0.0
2026-07-16T17:21:44Z,2026-07-18,2,57000.0,C,0.0001,0.0,0.1117,64153.88,64152.19,0.5804,0.99899,0.0,0.14495,0.0,0.0
2026-07-16T17:21:44Z,2026-07-18,2,57000.0,P,0.0,0.0001,0.0,64153.88,64152.19,0.5804,-0.00101,0.0,0.14495,19.8,0.5
2026-07-16T17:21:44Z,2026-07-18,2,58000.0,C,0.0001,0.0,0.0962,64153.88,64152.19,0.5609000000000001,0.99679,0.0,0.41405,0.0,0.0
