snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,forward_price,index_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-05-25T17:47:04Z,2026-05-26,1,67000.0,C,0.1175,0.1565,0.1358,77524.84,77517.52,0.8012,1.0,0.0,0.00042,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,67000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.8012,0.0,0.0,0.00042,3.6,0.0
2026-05-25T17:47:04Z,2026-05-26,1,68000.0,C,0.103,0.146,0.1229,77524.84,77517.52,0.8009000000000001,0.99998,0.0,0.00304,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,68000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.8009000000000001,-2e-05,0.0,0.00304,10.7,0.0
2026-05-25T17:47:04Z,2026-05-26,1,69000.0,C,0.088,0.126,0.11,77524.84,77517.52,0.7422,0.99995,0.0,0.00594,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,69000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.7422,-5e-05,0.0,0.00594,8.4,4.0
2026-05-25T17:47:04Z,2026-05-26,1,70000.0,C,0.074,0.117,0.0971,77524.84,77517.52,0.6668000000000001,0.99993,0.0,0.00864,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,70000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.6668000000000001,-7e-05,0.0,0.00864,31.7,20.3
2026-05-25T17:47:04Z,2026-05-26,1,71000.0,C,0.0615,0.0885,0.0842,77524.84,77517.52,0.6085,0.99984,0.0,0.0192,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,71000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.6085,-0.00016,0.0,0.0192,50.5,0.6
2026-05-25T17:47:04Z,2026-05-26,1,72000.0,C,0.0475,0.0835,0.0713,77524.84,77517.52,0.5632,0.99946,0.0,0.05934,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,72000.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.5632,-0.00054,0.0,0.05934,28.5,9.7
2026-05-25T17:47:04Z,2026-05-26,1,72500.0,C,0.042,0.0885,0.0649,77524.84,77517.52,0.5439,0.99893,0.0,0.11225,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,72500.0,P,0.0,0.0001,0.0,77524.84,77517.52,0.5439,-0.00107,0.0,0.11225,25.0,12.1
2026-05-25T17:47:04Z,2026-05-26,1,73000.0,C,0.034,0.0775,0.0584,77524.84,77517.52,0.4916,0.99884,0.0,0.12021,1.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,73000.0,P,0.0,0.0001,0.0,77517.52,77517.52,0.4916,-0.00118,0.0,0.12196,147.1,20.6
2026-05-25T17:47:04Z,2026-05-26,1,73500.0,C,0.032,0.0805,0.0519,77517.52,77517.52,0.45520000000000005,0.9982,0.0,0.17988,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,73500.0,P,0.0,0.0001,0.0,77517.52,77517.52,0.45520000000000005,-0.0018,0.0,0.17988,67.1,7.5
2026-05-25T17:47:04Z,2026-05-26,1,74000.0,C,0.0235,0.0685,0.0455,77517.52,77517.52,0.44659999999999994,0.9952,1e-05,0.43529,2.3,0.0
2026-05-25T17:47:04Z,2026-05-26,1,74000.0,P,0.0,0.0001,0.0,77517.52,77517.52,0.44659999999999994,-0.0048,1e-05,0.43529,102.4,40.1
2026-05-25T17:47:04Z,2026-05-26,1,74500.0,C,0.038,0.041,0.0391,77517.52,77517.52,0.4239,0.99019,2e-05,0.81816,5.3,0.0
2026-05-25T17:47:04Z,2026-05-26,1,74500.0,P,0.0,0.0001,0.0001,77517.52,77517.52,0.4239,-0.00981,2e-05,0.81816,101.3,8.5
2026-05-25T17:47:04Z,2026-05-26,1,75000.0,C,0.0315,0.0345,0.0327,77517.52,77517.52,0.3889,0.98279,4e-05,1.33026,80.4,0.0
2026-05-25T17:47:04Z,2026-05-26,1,75000.0,P,0.0,0.0002,0.0001,77517.52,77517.52,0.3889,-0.01721,4e-05,1.33026,245.9,57.5
2026-05-25T17:47:04Z,2026-05-26,1,75500.0,C,0.025,0.028,0.0263,77517.52,77517.52,0.34450000000000003,0.97177,6e-05,2.02043,52.1,15.5
2026-05-25T17:47:04Z,2026-05-26,1,75500.0,P,0.0001,0.0002,0.0001,77517.52,77517.52,0.34450000000000003,-0.02823,6e-05,2.02043,173.2,56.8
2026-05-25T17:47:04Z,2026-05-26,1,76000.0,C,0.0185,0.021,0.02,77517.52,77517.52,0.3042,0.94733,0.00011,3.35672,63.8,2.9
2026-05-25T17:47:04Z,2026-05-26,1,76000.0,P,0.0002,0.0003,0.0003,77517.52,77517.52,0.3042,-0.05267,0.00011,3.35672,153.3,113.4
2026-05-25T17:47:04Z,2026-05-26,1,76500.0,C,0.0125,0.0155,0.0138,77517.52,77517.52,0.2762,0.88361,0.00023,6.11347,325.6,49.6
2026-05-25T17:47:04Z,2026-05-26,1,76500.0,P,0.0005,0.0007,0.0006,77517.52,77517.52,0.2762,-0.11639,0.00023,6.11347,129.7,143.5
2026-05-25T17:47:04Z,2026-05-26,1,77000.0,C,0.008,0.0085,0.0083,77517.52,77517.52,0.2534,0.7458,0.00041,10.01121,29.7,47.9
2026-05-25T17:47:04Z,2026-05-26,1,77000.0,P,0.0014,0.0017,0.0016,77517.52,77517.52,0.2534,-0.2542,0.00041,10.01127,116.3,82.1
2026-05-25T17:47:04Z,2026-05-26,1,77500.0,C,0.0037,0.0041,0.0039,77517.52,77517.52,0.2371,0.51135,0.00054,12.4532,130.2,68.2
2026-05-25T17:47:04Z,2026-05-26,1,77500.0,P,0.0035,0.0041,0.0036,77517.52,77517.52,0.2371,-0.48865,0.00054,12.4532,37.7,31.3
2026-05-25T17:47:04Z,2026-05-26,1,78000.0,C,0.0015,0.0017,0.0017,77517.52,77517.52,0.24670000000000003,0.26781,0.00043,10.28341,63.6,42.5
2026-05-25T17:47:04Z,2026-05-26,1,78000.0,P,0.0065,0.009,0.0077,77517.52,77517.52,0.24670000000000003,-0.73219,0.00043,10.28341,14.7,15.0
2026-05-25T17:47:04Z,2026-05-26,1,78500.0,C,0.0005,0.0008,0.0006,77507.61,77517.52,0.2656,0.11829,0.00024,6.18315,64.3,47.7
2026-05-25T17:47:04Z,2026-05-26,1,78500.0,P,0.01,0.027,0.0133,77507.61,77517.52,0.2656,-0.88171,0.00024,6.18315,0.5,0.4
2026-05-25T17:47:04Z,2026-05-26,1,79000.0,C,0.0003,0.0004,0.0003,77507.61,77517.52,0.3006,0.05833,0.00012,3.63791,135.8,91.3
2026-05-25T17:47:04Z,2026-05-26,1,79000.0,P,0.016,0.0365,0.0194,77507.61,77517.52,0.3006,-0.94167,0.00012,3.63791,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,79500.0,C,0.0002,0.0003,0.0002,77507.61,77517.52,0.3406,0.03265,7e-05,2.27873,111.2,50.1
2026-05-25T17:47:04Z,2026-05-26,1,79500.0,P,0.0215,0.048,0.0258,77507.61,77517.52,0.3406,-0.96735,7e-05,2.27873,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,80000.0,C,0.0001,0.0002,0.0001,77507.61,77517.52,0.3762,0.01872,4e-05,1.42939,69.4,48.6
2026-05-25T17:47:04Z,2026-05-26,1,80000.0,P,0.028,0.0545,0.0322,77507.61,77517.52,0.3762,-0.98127,4e-05,1.42962,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,80500.0,C,0.0,0.0002,0.0,77507.61,77517.52,0.38939999999999997,0.00805,2e-05,0.68807,34.6,27.0
2026-05-25T17:47:04Z,2026-05-26,1,80500.0,P,0.028,0.067,0.0385,77507.61,77517.52,0.38939999999999997,-0.99195,2e-05,0.68807,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,81000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.3967,0.00298,1e-05,0.28417,51.3,34.5
2026-05-25T17:47:04Z,2026-05-26,1,81000.0,P,0.038,0.072,0.0449,77507.61,77517.52,0.3967,-0.99702,1e-05,0.28417,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,82000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.4631,0.0013,0.0,0.13396,49.2,5.7
2026-05-25T17:47:04Z,2026-05-26,1,82000.0,P,0.0305,0.086,0.0578,77507.61,77517.52,0.4631,-0.9987,0.0,0.13396,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,83000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.5186,0.00054,0.0,0.06004,35.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,83000.0,P,0.0665,0.099,0.0707,77507.61,77517.52,0.5186,-0.99946,0.0,0.06004,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,84000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.5282,8e-05,0.0,0.01023,24.7,0.0
2026-05-25T17:47:04Z,2026-05-26,1,84000.0,P,0.079,0.112,0.0836,77507.61,77517.52,0.5282,-0.99992,0.0,0.01023,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,85000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.5282,1e-05,0.0,0.00108,2.4,0.0
2026-05-25T17:47:04Z,2026-05-26,1,85000.0,P,0.086,0.126,0.0965,77507.61,77517.52,0.5282,-0.99999,0.0,0.00108,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,86000.0,C,0.0,0.0001,0.0,77507.61,77517.52,0.5282,0.0,0.0,9e-05,0.0,0.0
2026-05-25T17:47:04Z,2026-05-26,1,86000.0,P,0.077,0.1385,0.1094,77507.61,77517.52,0.5282,-1.0,0.0,9e-05,0.0,0.0
2026-05-25T17:47:04Z,2026-05-27,2,66000.0,C,0.1365,0.1735,0.1486,77506.01,77517.52,0.7204999999999999,0.99966,0.0,0.06296,0.0,0.0
2026-05-25T17:47:04Z,2026-05-27,2,66000.0,P,0.0,0.0001,0.0,77506.01,77517.52,0.7204999999999999,-0.00034,0.0,0.06296,2.0,0.0
2026-05-25T17:47:04Z,2026-05-27,2,67000.0,C,0.1325,0.162,0.1357,77506.01,77517.52,0.7204999999999999,0.99898,0.0,0.17541,0.0,0.0
2026-05-25T17:47:04Z,2026-05-27,2,67000.0,P,0.0,0.0001,0.0,77506.01,77517.52,0.7204999999999999,-0.00102,0.0,0.17541,1.2,0.6
2026-05-25T17:47:04Z,2026-05-27,2,68000.0,C,0.106,0.146,0.1228,77506.01,77517.52,0.6942,0.99799,0.0,0.32587,0.0,0.0
2026-05-25T17:47:04Z,2026-05-27,2,68000.0,P,0.0,0.0001,0.0,77506.01,77517.52,0.6942,-0.00201,0.0,0.32587,7.2,6.5
