snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,underlying_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-03-17T17:11:45Z,2026-03-18,1,74000.0,C,0.0085,0.009,0.0088,74191.5724,0.45530000000000004,0.55863,0.00028,12.03425,70.3,101.8
2026-03-17T17:11:45Z,2026-03-18,1,74000.0,P,0.006,0.0065,0.0062,74191.5724,0.45530000000000004,-0.44137,0.00028,12.03425,53.4,67.7
2026-03-17T17:11:45Z,2026-03-18,1,74500.0,C,0.005,0.006,0.0055,74191.5724,0.44920000000000004,0.4147,0.00028,11.88671,68.3,66.1
2026-03-17T17:11:45Z,2026-03-18,1,74500.0,P,0.009,0.01,0.0096,74191.5724,0.44920000000000004,-0.5853,0.00028,11.88671,18.4,22.3
2026-03-17T17:11:45Z,2026-03-18,1,75000.0,C,0.0028,0.0033,0.0032,74191.5724,0.4474,0.2809,0.00025,10.2814,166.4,205.3
2026-03-17T17:11:45Z,2026-03-18,1,75000.0,P,0.013,0.0155,0.0141,74191.5724,0.4474,-0.7191,0.00025,10.2814,21.4,23.0
2026-03-17T17:11:45Z,2026-03-18,1,75500.0,C,0.0015,0.0018,0.0017,74191.5724,0.4481,0.17363,0.00019,7.82171,50.3,43.8
2026-03-17T17:11:45Z,2026-03-18,1,75500.0,P,0.0165,0.0235,0.0193,74191.5724,0.4481,-0.82637,0.00019,7.82171,2.5,2.6
2026-03-17T17:11:45Z,2026-03-18,1,76000.0,C,0.0008,0.0011,0.001,74191.5724,0.46619999999999995,0.10618,0.00013,5.59002,304.6,265.0
2026-03-17T17:11:45Z,2026-03-18,1,76000.0,P,0.02,0.0305,0.0253,74191.5724,0.46619999999999995,-0.89382,0.00013,5.59002,5.6,5.6
2026-03-17T17:11:45Z,2026-03-18,1,76500.0,C,0.0004,0.0007,0.0006,74191.5724,0.4868,0.06411,8e-05,3.82533,23.9,28.3
2026-03-17T17:11:45Z,2026-03-18,1,76500.0,P,0.0001,0.057,0.0317,74191.5724,0.4868,-0.93589,8e-05,3.82533,0.0,0.0
2026-03-17T17:11:45Z,2026-03-18,1,77000.0,C,0.0003,0.0005,0.0004,74191.5335,0.5203,0.0421,6e-05,2.73939,109.1,75.9
2026-03-17T17:11:45Z,2026-03-18,1,77000.0,P,0.0014,0.042,0.0382,74191.5724,0.5202,-0.9579,6e-05,2.73925,0.0,0.0
2026-03-17T17:11:45Z,2026-03-18,1,78000.0,C,0.0001,0.0003,0.0002,74191.5335,0.5884,0.01981,3e-05,1.46461,171.2,172.4
2026-03-17T17:11:45Z,2026-03-18,1,78000.0,P,0.014,0.077,0.0515,74191.5335,0.5884,-0.98019,3e-05,1.46461,0.0,0.0
2026-03-17T17:11:45Z,2026-03-18,1,79000.0,C,0.0001,0.0002,0.0001,74191.5335,0.688,0.01368,2e-05,1.06667,172.5,75.7
2026-03-17T17:11:45Z,2026-03-18,1,79000.0,P,0.024,0.078,0.0649,74191.5335,0.688,-0.98632,2e-05,1.06667,0.0,0.0
2026-03-17T17:11:45Z,2026-03-18,1,80000.0,C,0.0,0.0001,0.0001,74191.5335,0.769,0.00892,1e-05,0.7355,229.0,295.8
2026-03-17T17:11:45Z,2026-03-18,1,80000.0,P,0.037,0.104,0.0784,74191.5335,0.769,-0.99108,1e-05,0.7355,0.0,0.0
2026-03-17T17:11:45Z,2026-03-18,1,81000.0,C,0.0,0.0001,0.0,74191.5335,0.7737999999999999,0.00303,0.0,0.28157,31.6,31.6
2026-03-17T17:11:45Z,2026-03-18,1,81000.0,P,0.05,0.0965,0.0918,74191.5335,0.7737999999999999,-0.99697,0.0,0.28157,0.2,0.4
2026-03-17T17:11:45Z,2026-03-19,2,63000.0,C,0.1255,0.176,0.151,74196.4562,0.9704,0.99484,0.0,0.73381,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,63000.0,P,0.0,0.0002,0.0001,74196.4562,0.9704,-0.00516,0.0,0.73381,105.7,50.4
2026-03-17T17:11:45Z,2026-03-19,2,64000.0,C,0.112,0.1625,0.1376,74196.4562,0.9046,0.99354,0.0,0.8968,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,64000.0,P,0.0,0.0002,0.0001,74196.4562,0.9046,-0.00646,0.0,0.8968,52.3,36.2
2026-03-17T17:11:45Z,2026-03-19,2,65000.0,C,0.0875,0.1365,0.1241,74196.4562,0.856,0.99065,1e-05,1.24121,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,65000.0,P,0.0001,0.0003,0.0002,74196.4562,0.856,-0.00935,1e-05,1.24121,1.8,0.2
2026-03-17T17:11:45Z,2026-03-19,2,66000.0,C,0.073,0.136,0.1107,74196.4562,0.8139,0.98568,1e-05,1.79722,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,66000.0,P,0.0002,0.0004,0.0003,74196.4562,0.8139,-0.01432,1e-05,1.79722,60.9,3.4
2026-03-17T17:11:45Z,2026-03-19,2,67000.0,C,0.0595,0.101,0.0974,74196.4562,0.7662,0.97863,1e-05,2.52878,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,67000.0,P,0.0003,0.0006,0.0004,74196.4562,0.7662,-0.02137,1e-05,2.52878,123.4,8.3
2026-03-17T17:11:45Z,2026-03-19,2,68000.0,C,0.045,0.1095,0.0842,74196.4562,0.7293000000000001,0.9657,2e-05,3.753,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,68000.0,P,0.0006,0.0008,0.0007,74196.4562,0.7293000000000001,-0.0343,2e-05,3.753,102.5,50.6
2026-03-17T17:11:45Z,2026-03-19,2,69000.0,C,0.032,0.0915,0.0711,74196.4562,0.6822,0.9476,3e-05,5.28606,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,69000.0,P,0.0009,0.0012,0.001,74196.4562,0.6822,-0.0524,3e-05,5.28606,111.1,85.1
2026-03-17T17:11:45Z,2026-03-19,2,69500.0,C,0.026,0.077,0.0646,74196.4562,0.6636,0.93355,4e-05,6.3693,0.2,0.0
2026-03-17T17:11:45Z,2026-03-19,2,69500.0,P,0.0012,0.0014,0.0013,74196.3868,0.6636,-0.06646,4e-05,6.36944,98.2,20.5
2026-03-17T17:11:45Z,2026-03-19,2,70000.0,C,0.057,0.0595,0.0582,74196.3868,0.6406000000000001,0.91727,5e-05,7.52918,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,70000.0,P,0.0015,0.0018,0.0016,74196.3868,0.6406000000000001,-0.08273,5e-05,7.52918,95.3,32.2
2026-03-17T17:11:45Z,2026-03-19,2,70500.0,C,0.0505,0.053,0.0519,74196.3868,0.6199,0.89602,6e-05,8.9154,1.1,0.4
2026-03-17T17:11:45Z,2026-03-19,2,70500.0,P,0.0019,0.0022,0.0021,74196.4562,0.6199,-0.10397,6e-05,8.91515,47.1,3.9
2026-03-17T17:11:45Z,2026-03-19,2,71000.0,C,0.0445,0.047,0.0458,74196.3868,0.6036,0.86787,7e-05,10.56417,0.3,0.1
2026-03-17T17:11:45Z,2026-03-19,2,71000.0,P,0.0025,0.0029,0.0027,74196.3868,0.6036,-0.13213,7e-05,10.56417,52.3,32.3
2026-03-17T17:11:45Z,2026-03-19,2,71500.0,C,0.0385,0.041,0.0399,74196.3868,0.5877,0.83296,9e-05,12.35523,4.0,0.2
2026-03-17T17:11:45Z,2026-03-19,2,71500.0,P,0.0033,0.0037,0.0035,74196.3868,0.5877,-0.16704,9e-05,12.35523,42.6,39.6
2026-03-17T17:11:45Z,2026-03-19,2,72000.0,C,0.033,0.0355,0.0343,74196.3868,0.5755,0.78921,0.0001,14.26273,18.1,0.0
2026-03-17T17:11:45Z,2026-03-19,2,72000.0,P,0.0045,0.0049,0.0047,74196.3868,0.5755,-0.21079,0.0001,14.26273,45.5,29.6
2026-03-17T17:11:45Z,2026-03-19,2,72500.0,C,0.028,0.03,0.0289,74196.4562,0.5634,0.73749,0.00012,16.09633,5.3,0.2
2026-03-17T17:11:45Z,2026-03-19,2,72500.0,P,0.0055,0.0065,0.0061,74195.9073,0.5634,-0.26258,0.00012,16.09822,23.2,5.4
2026-03-17T17:11:45Z,2026-03-19,2,73000.0,C,0.023,0.0245,0.024,74196.3868,0.5532,0.67721,0.00013,17.72252,43.2,0.0
