snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,forward_price,index_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-05-10T17:00:14Z,2026-05-11,1,71000.0,C,0.1145,0.159,0.1273,81357.31,81357.31,0.5316,1.0,0.0,0.0,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,71000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.5316,0.0,0.0,0.0,10.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,72000.0,C,0.096,0.148,0.115,81357.31,81357.31,0.47659999999999997,1.0,0.0,0.0,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,72000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.47659999999999997,0.0,0.0,0.0,6.7,0.0
2026-05-10T17:00:14Z,2026-05-11,1,73000.0,C,0.081,0.11,0.1027,81357.31,81357.31,0.4671,1.0,0.0,0.0,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,73000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.4671,0.0,0.0,0.0,6.6,0.0
2026-05-10T17:00:14Z,2026-05-11,1,74000.0,C,0.0655,0.0985,0.0904,81357.31,81357.31,0.4598,1.0,0.0,5e-05,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,74000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.4598,0.0,0.0,5e-05,6.2,0.0
2026-05-10T17:00:14Z,2026-05-11,1,75000.0,C,0.057,0.084,0.0781,81357.31,81357.31,0.4428,1.0,0.0,0.00067,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,75000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.4428,0.0,0.0,0.00067,53.9,0.0
2026-05-10T17:00:14Z,2026-05-11,1,76000.0,C,0.028,0.0945,0.0659,81357.31,81357.31,0.4428,0.9999,0.0,0.01295,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,76000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.4428,-0.0001,0.0,0.01295,19.8,1.3
2026-05-10T17:00:14Z,2026-05-11,1,77000.0,C,0.0325,0.089,0.0536,81357.31,81357.31,0.44270000000000004,0.99871,0.0,0.143,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,77000.0,P,0.0,0.0001,0.0,81357.31,81357.31,0.44270000000000004,-0.00129,0.0,0.143,70.0,47.1
2026-05-10T17:00:14Z,2026-05-11,1,77500.0,C,0.02,0.0535,0.0474,81357.31,81357.31,0.43939999999999996,0.99633,1e-05,0.36946,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,77500.0,P,0.0,0.0002,0.0,81357.31,81357.31,0.43939999999999996,-0.00367,1e-05,0.36946,105.3,63.8
2026-05-10T17:00:14Z,2026-05-11,1,78000.0,C,0.0125,0.065,0.0413,81357.31,81357.31,0.4384,0.99015,2e-05,0.88544,3.9,0.0
2026-05-10T17:00:14Z,2026-05-11,1,78000.0,P,0.0,0.0003,0.0001,81357.31,81357.31,0.4384,-0.00985,2e-05,0.88544,123.0,14.4
2026-05-10T17:00:14Z,2026-05-11,1,78500.0,C,0.0165,0.068,0.0353,81357.31,81357.31,0.43079999999999996,0.97802,4e-05,1.76594,0.0,0.0
2026-05-10T17:00:14Z,2026-05-11,1,78500.0,P,0.0001,0.0003,0.0001,81357.31,81357.31,0.43079999999999996,-0.02198,4e-05,1.76594,145.8,29.6
